Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69281a29e61d4a2c5ce18cc7,611d0c64d70a6d9fcd11440b,APPROVED,Not Applicable,2025-11-27T09:30:24.450000Z,2025-11-27T10:01:28.727000Z,2025-11-28T08:28:45.179000Z,2025-11-27T10:01:29.069857Z,1865.0,C1O7Z4LJ,783,50,Female,Black,Zimbabwe,South Africa,Zimbabwe,English,No,Full-Time
69281b78a777dd0137ceecfa,673cc766eb6d1633e98eae62,APPROVED,Not Applicable,2025-11-27T09:35:52.640000Z,2025-11-27T10:18:37.500000Z,2025-11-28T08:28:46.214000Z,2025-11-27T10:18:37.849555Z,2565.0,C1O7Z4LJ,438,41,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
69281c626f1713e7210dde67,609d66344d3086758ab09983,APPROVED,Not Applicable,2025-11-27T09:41:14.191000Z,2025-11-27T10:13:40.949000Z,2025-11-28T08:28:47.081000Z,2025-11-27T10:13:41.270380Z,1947.0,C1O7Z4LJ,225,23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
692828ca677d8555d1a1e33b,673493f39318451e1c97abac,APPROVED,Not Applicable,2025-11-27T10:32:42.379000Z,2025-11-27T11:49:26.082000Z,2025-11-28T08:28:48.073000Z,2025-11-27T11:49:26.410017Z,4604.0,C1O7Z4LJ,362,30,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
692839e1aafb7c589b78796f,60e00818b935a41dcfb1cccd,APPROVED,Not Applicable,2025-11-27T11:45:57.659000Z,2025-11-27T12:26:24.329000Z,2025-11-28T08:28:49.033000Z,2025-11-27T12:26:24.840664Z,2427.0,C1O7Z4LJ,968,35,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
69281a1b9a119bded6c47e65,5da74e9437d4210016492810,RETURNED,Not Applicable,2025-11-27T09:30:03.953000Z,,,,,,2347,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69281a8dac46894ed664d9b1,64d23e803ee1da9a01e52faa,RETURNED,Not Applicable,2025-11-27T09:32:40.267000Z,,,,,,1983,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69281a9e4b4c889ac4c945d0,66ceb0af1cd3e27b364bfd53,RETURNED,Not Applicable,2025-11-27T09:33:47.696000Z,,,,,,1291,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69281ab26418e428c8b91ac0,665dbfb693736239e14a8e9d,RETURNED,Not Applicable,2025-11-27T09:32:34.425000Z,,,,,,831,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
692826447e56c9a42a4803de,67a9e2963a7fc9bf18353c70,TIMED-OUT,Not Applicable,2025-11-27T10:21:56.342000Z,,,,1568396.0,,15,41,Male,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,Full-Time
